Latitude,Longitude,updated_type,updated_subtype,Alert_Count
-87.85000000000001,41.95,HAZARD,ON ROAD,1
-87.85000000000001,41.95,HAZARD,ON ROAD OBJECT,5
-87.85000000000001,41.95,HAZARD,ON ROAD POT HOLE,6
-87.85000000000001,41.95,HAZARD,ON ROAD ROAD KILL,1
-87.85000000000001,41.95,HAZARD,UNCLASSIFIED,1
-87.85000000000001,41.95,HAZARD,WEATHER FOG,2
-87.85000000000001,41.95,JAM,HEAVY TRAFFIC,4
-87.85000000000001,41.95,JAM,STAND STILL TRAFFIC,5
-87.85000000000001,41.95,JAM,UNCLASSIFIED,2
-87.85000000000001,41.96,ACCIDENT,UNCLASSIFIED,2
-87.85000000000001,41.96,HAZARD,ON ROAD,2
-87.85000000000001,41.96,HAZARD,ON ROAD CAR STOPPED,3
-87.85000000000001,41.96,HAZARD,ON ROAD OBJECT,5
-87.85000000000001,41.96,HAZARD,ON SHOULDER ANIMALS,3
-87.85000000000001,41.96,HAZARD,ON SHOULDER CAR STOPPED,2
-87.85000000000001,41.96,JAM,UNCLASSIFIED,1
-87.85000000000001,41.97,ACCIDENT,MAJOR,1
-87.85000000000001,41.97,ACCIDENT,MINOR,2
-87.85000000000001,41.97,ACCIDENT,UNCLASSIFIED,10
-87.85000000000001,41.97,HAZARD,ON ROAD,14
-87.85000000000001,41.97,HAZARD,ON ROAD CAR STOPPED,3
-87.85000000000001,41.97,HAZARD,ON ROAD CONSTRUCTION,24
-87.85000000000001,41.97,HAZARD,ON ROAD EMERGENCY VEHICLE,10
-87.85000000000001,41.97,HAZARD,ON ROAD OBJECT,4
-87.85000000000001,41.97,HAZARD,ON ROAD POT HOLE,68
-87.85000000000001,41.97,HAZARD,ON ROAD ROAD KILL,1
-87.85000000000001,41.97,HAZARD,ON SHOULDER ANIMALS,1
-87.85000000000001,41.97,HAZARD,ON SHOULDER CAR STOPPED,24
-87.85000000000001,41.97,HAZARD,UNCLASSIFIED,18
-87.85000000000001,41.97,HAZARD,WEATHER,1
-87.85000000000001,41.97,HAZARD,WEATHER FOG,1
-87.85000000000001,41.97,JAM,HEAVY TRAFFIC,10
-87.85000000000001,41.97,JAM,STAND STILL TRAFFIC,4
-87.85000000000001,41.97,JAM,UNCLASSIFIED,7
-87.85000000000001,41.980000000000004,ACCIDENT,MAJOR,6
-87.85000000000001,41.980000000000004,ACCIDENT,UNCLASSIFIED,12
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD,15
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD CAR STOPPED,8
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD CONSTRUCTION,19
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD EMERGENCY VEHICLE,20
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD OBJECT,17
-87.85000000000001,41.980000000000004,HAZARD,ON ROAD POT HOLE,10
-87.85000000000001,41.980000000000004,HAZARD,ON SHOULDER CAR STOPPED,122
-87.85000000000001,41.980000000000004,HAZARD,UNCLASSIFIED,16
-87.85000000000001,41.980000000000004,HAZARD,WEATHER FLOOD,1
-87.85000000000001,41.980000000000004,HAZARD,WEATHER FOG,2
-87.85000000000001,41.980000000000004,JAM,HEAVY TRAFFIC,21
-87.85000000000001,41.980000000000004,JAM,STAND STILL TRAFFIC,33
-87.85000000000001,41.980000000000004,JAM,UNCLASSIFIED,8
-87.85000000000001,41.99,ACCIDENT,MINOR,1
-87.85000000000001,41.99,HAZARD,ON ROAD,1
-87.85000000000001,41.99,HAZARD,ON ROAD CAR STOPPED,1
-87.85000000000001,41.99,HAZARD,ON ROAD CONSTRUCTION,2
-87.85000000000001,41.99,HAZARD,ON ROAD EMERGENCY VEHICLE,7
-87.85000000000001,41.99,HAZARD,ON ROAD OBJECT,1
-87.85000000000001,41.99,HAZARD,ON SHOULDER CAR STOPPED,1
-87.85000000000001,41.99,HAZARD,UNCLASSIFIED,2
-87.85000000000001,41.99,JAM,HEAVY TRAFFIC,1
-87.85000000000001,41.99,JAM,UNCLASSIFIED,1
-87.84,41.94,ACCIDENT,MAJOR,1
-87.84,41.94,ACCIDENT,MINOR,3
-87.84,41.94,ACCIDENT,UNCLASSIFIED,27
-87.84,41.94,HAZARD,ON ROAD,13
-87.84,41.94,HAZARD,ON ROAD CAR STOPPED,7
-87.84,41.94,HAZARD,ON ROAD CONSTRUCTION,18
-87.84,41.94,HAZARD,ON ROAD EMERGENCY VEHICLE,5
-87.84,41.94,HAZARD,ON ROAD OBJECT,23
-87.84,41.94,HAZARD,ON ROAD POT HOLE,26
-87.84,41.94,HAZARD,ON ROAD ROAD KILL,2
-87.84,41.94,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,1
-87.84,41.94,HAZARD,ON SHOULDER ANIMALS,2
-87.84,41.94,HAZARD,ON SHOULDER CAR STOPPED,25
-87.84,41.94,HAZARD,UNCLASSIFIED,5
-87.84,41.94,HAZARD,WEATHER,1
-87.84,41.94,HAZARD,WEATHER FLOOD,1
-87.84,41.94,HAZARD,WEATHER FOG,3
-87.84,41.94,JAM,HEAVY TRAFFIC,56
-87.84,41.94,JAM,STAND STILL TRAFFIC,47
-87.84,41.94,JAM,UNCLASSIFIED,15
-87.84,41.95,ACCIDENT,MAJOR,2
-87.84,41.95,ACCIDENT,MINOR,8
-87.84,41.95,ACCIDENT,UNCLASSIFIED,29
-87.84,41.95,HAZARD,ON ROAD,24
-87.84,41.95,HAZARD,ON ROAD CAR STOPPED,6
-87.84,41.95,HAZARD,ON ROAD CONSTRUCTION,16
